ESTUDIANTE,PERIODO,PROMEDIO_GENERAL,PEOR_PROMEDIO,ASISTENCIA_PROMEDIO,MAX_INTENTOS,MATERIAS_REPROBADAS,TOTAL_MATERIAS,TASA_REPROBACION,PUNTOS_DESERTOR,CATEGORIA
Estudiante 313,2024 - 2025 CI,6.76,6.76,100.00,1,1,1,1.00,1,ALTO
Estudiante 314,2024 - 2025 CI,8.30,8.30,100.00,1,0,1,0.00,0,BAJO
Estudiante 315,2024 - 2025 CI,7.61,7.61,96.00,1,0,1,0.00,0,BAJO
Estudiante 316,2024 - 2025 CI,7.71,7.71,96.00,1,0,1,0.00,0,BAJO
Estudiante 317,2024 - 2025 CI,0.00,0.00,0.00,1,1,1,1.00,3,DESERTOR
Estudiante 318,2024 - 2025 CI,7.96,7.96,96.00,1,0,1,0.00,0,BAJO
Estudiante 319,2024 - 2025 CI,6.08,6.08,96.00,1,1,1,1.00,1,ALTO
Estudiante 320,2024 - 2025 CI,7.85,7.85,96.00,1,0,1,0.00,0,BAJO
Estudiante 321,2024 - 2025 CI,7.02,7.02,96.00,1,0,1,0.00,0,MEDIO
Estudiante 322,2024 - 2025 CI,7.38,7.38,100.00,1,0,1,0.00,0,MEDIO
Estudiante 323,2024 - 2025 CI,0.21,0.21,0.00,2,1,1,1.00,3,DESERTOR
Estudiante 324,2025 - 2026 CI,8.43,7.01,96.71,1,0,7,0.00,0,BAJO
Estudiante 325,2025 - 2026 CI,4.12,0.00,70.29,1,6,7,0.86,1,ALTO
Estudiante 326,2025 - 2026 CI,9.21,7.04,100.00,1,0,7,0.00,0,BAJO
Estudiante 327,2025 - 2026 CI,9.48,7.43,100.00,1,0,7,0.00,0,BAJO
Estudiante 328,2025 - 2026 CI,8.48,7.58,97.43,1,0,7,0.00,0,BAJO
Estudiante 329,2025 - 2026 CI,8.00,5.75,93.71,1,1,7,0.14,0,BAJO
Estudiante 330,2025 - 2026 CI,0.76,0.00,0.00,1,7,7,1.00,3,DESERTOR
Estudiante 331,2025 - 2026 CI,7.08,3.94,79.43,1,2,7,0.29,0,MEDIO
Estudiante 332,2025 - 2026 CI,7.81,4.46,92.14,1,1,7,0.14,0,BAJO
Estudiante 333,2025 - 2026 CI,9.52,7.50,98.86,1,0,7,0.00,0,BAJO
Estudiante 334,2025 - 2026 CI,8.91,7.76,96.71,1,0,7,0.00,0,BAJO
Estudiante 335,2025 - 2026 CI,8.86,7.21,92.86,1,0,7,0.00,0,BAJO
Estudiante 336,2025 - 2026 CI,7.42,3.55,97.43,1,1,7,0.14,0,MEDIO
Estudiante 337,2025 - 2026 CI,9.53,8.41,100.00,1,0,7,0.00,0,BAJO
Estudiante 338,2025 - 2026 CI,8.53,7.67,92.86,1,0,7,0.00,0,BAJO
Estudiante 339,2025 - 2026 CI,9.44,9.15,98.00,1,0,7,0.00,0,BAJO
Estudiante 340,2025 - 2026 CI,9.11,7.99,98.43,1,0,7,0.00,0,BAJO
Estudiante 341,2025 - 2026 CI,9.02,7.06,92.71,1,0,7,0.00,0,BAJO
Estudiante 342,2025 - 2026 CI,8.69,7.01,96.00,1,0,7,0.00,0,BAJO
